Rok,Miesiąc,Turyści
2013,styczeń,76666
2013,luty,101272
2013,marzec,54651
2013,kwiecień,95736
2013,maj,212831
2013,czerwiec,231960
2013,lipiec,615518
2013,sierpień,755304
2013,wrzesień,351687
2013,październik,163924
2013,listopad,50686
2013,grudzień,54042
2014,styczeń,85716
2014,luty,120405
2014,marzec,96740
2014,kwiecień,85753
2014,maj,199603
2014,czerwiec,284089
2014,lipiec,578634
2014,sierpień,696847
2014,wrzesień,346715
2014,październik,169593
2014,listopad,66586
2014,grudzień,61156
2015,styczeń,90420
2015,luty,130623
2015,marzec,78366
2015,kwiecień,108746
2015,maj,186148
2015,czerwiec,317172
2015,lipiec,738853
2015,sierpień,839248
2015,wrzesień,355135
2015,październik,168258
2015,listopad,65524
2015,grudzień,102151
2016,styczeń,99780
2016,luty,148025
2016,marzec,97141
2016,kwiecień,169871
2016,maj,299362
2016,czerwiec,345321
2016,lipiec,694950
2016,sierpień,894797
2016,wrzesień,463179
2016,październik,145981
2016,listopad,56759
2016,grudzień,84976
2017,styczeń,146433
2017,luty,177478
2017,marzec,97369
2017,kwiecień,125556
2017,maj,266931
2017,czerwiec,417666
2017,lipiec,780588
2017,sierpień,861367
2017,wrzesień,378164
2017,październik,170604
2017,listopad,65867
2017,grudzień,105731
2018,styczeń,171421
2018,luty,173782
2018,marzec,112507
2018,kwiecień,234557
2018,maj,335136
2018,czerwiec,369053
2018,lipiec,677758
2018,sierpień,819954
2018,wrzesień,472934
2018,październik,210089
2018,listopad,94907
2018,grudzień,107362
2019,styczeń,108285
2019,luty,203931
2019,marzec,141079
2019,kwiecień,175496
2019,maj,270439
2019,czerwiec,407979
2019,lipiec,732199
2019,sierpień,882046
2019,wrzesień,432273
2019,październik,204656
2019,listopad,75023
2019,grudzień,118355
2020,styczeń,228980
2020,luty,233624
2020,marzec,50178
2020,kwiecień,1493
2020,maj,113825
2020,czerwiec,285757
2020,lipiec,706862
2020,sierpień,788005
2020,wrzesień,523324
2020,październik,155573
2020,listopad,115557
2020,grudzień,98717
2021,styczeń,192521
2021,luty,230399
2021,marzec,144995
2021,kwiecień,100592
2021,maj,244968
2021,czerwiec,484115
2021,lipiec,908177
2021,sierpień,1001295
2021,wrzesień,641287
2021,październik,346912
2021,listopad,169119
2021,grudzień,135645
2022,styczeń,230860
2022,luty,238757
2022,marzec,183902
2022,kwiecień,173114
2022,maj,321470
2022,czerwiec,553975
2022,lipiec,797438
2022,sierpień,938040
2022,wrzesień,450725
2022,październik,380656
2022,listopad,160057
2022,grudzień,151021
