Rok, Przyczyny zdarzeń, Turystyka piesza, Rower, Skitury, Jazda na rowerze, Wspinaczka górska, Wspinaczka jaskiniowa, Kanioning górski, Paralotnia, Niepotrzebny alarm, Inny
2021, upadek (np. potknięcie się),394,3,31,3,2,1,,,,1
2021, spaść z wysokości,41,,,1,12,,,,,1
2021, zgubić się,48,,2,,3,,,,,
2021, spadający kamień / lód,8,,,,3,,,,,
2021, lawina,5,,4,,1,,,,,
2021, uderzenie pioruna,,,,,,,,,,
2021, niska temperatura,12,,1,,,,,,,
2021, wysoka temperatura,4,,,,,,,,,
2021, zachorować,171,,,1,1,,,,,9
2021, brak umiejętności,109,,4,,7,,,,,
2021, niewystarczający sprzęt,59,,2,,2,,,,,
2021, Inny,137,,9,1,8,1,,,,12
2021, nie dotyczy,31,,1,,1,,,,3,8
2020, upadek (np. potknięcie się),280,2,5,4,2,1,,,,6
2020, spaść z wysokości,47,,1,,13,,,,,4
2020, zgubić się,33,,,,3,,,,,
2020, spadający kamień / lód,5,,,,2,,,,,
2020, lawina,2,,,,,,,,,
2020, uderzenie pioruna,,,,,,,,,,
2020, niska temperatura,5,,,,,,,,,1
2020, wysoka temperatura,5,,,,,,,,,
2020, zachorować,87,1,,,1,,,,,8
2020, brak umiejętności,66,,,,9,2,,,,2
2020, niewystarczający sprzęt,40,,,,4,,,,,
2020, Inny,78,1,2,1,2,,,,1,13
2020, nie dotyczy,16,,,,,,,,2,8
2019, upadek (np. potknięcie się),270,2,17,1,2,,,,,3
2019, spaść z wysokości,35,,1,1,13,,,,,1
2019, zgubić się,44,,1,,2,,,,,
2019, spadający kamień / lód,6,,,,1,,,,,1
2019, lawina,4,,1,,1,,,,2,
2019, uderzenie pioruna,3,,,,,,,,,1
2019, niska temperatura,13,,,,1,,,,,
2019, wysoka temperatura,4,,,,,,,,,
2019, zachorować,136,,,,,,,,,10
2019, brak umiejętności,93,,1,1,5,,,,,
2019, niewystarczający sprzęt,52,,1,,1,,,,,
2019, Inny,101,,6,1,1,32,,,,15
2019, nie dotyczy,16,,,,,,,,2,7
2018, upadek (np. potknięcie się),288,2,16,8,2,,,,,4
2018, spaść z wysokości,44,,1,1,14,,,,,
2018, zgubić się,40,,1,,3,,,,,1
2018, spadający kamień / lód,5,,,,3,,,,,
2018, lawina,2,,,,,,,,,1
2018, uderzenie pioruna,2,,,,,,,,,
2018, niska temperatura,12,,,1,,,,,,
2018, wysoka temperatura,2,,,,,,,,,
2018, zachorować,106,,,,,,,,,12
2018, brak umiejętności,80,1,1,1,8,,,,,
2018, niewystarczający sprzęt,52,,,1,2,,,,,
2018, Inny,75,,3,1,4,,,,,17
2018, nie dotyczy,16,,,,,,,,,8
2017, upadek (np. potknięcie się),289,,19,2,2,,,,,7
2017, spaść z wysokości,43,,2,,8,2,,,,
2017, zgubić się,58,,1,,1,,,,,
2017, spadający kamień / lód,4,,,,2,,,,,
2017, lawina,3,,1,,1,,,,2,2
2017, uderzenie pioruna,1,,,,,,,,,
2017, niska temperatura,9,,1,,,,,,,
2017, wysoka temperatura,3,,,,,,,,,
2017, zachorować,104,,,2,,,,,,14
2017, brak umiejętności,95,,3,,3,1,,,,1
2017, niewystarczający sprzęt,59,,2,,,,,,,1
2017, Inny,84,,3,,7,,,,,12
2017, nie dotyczy,28,,2,,1,,,,1,13
2016, upadek (np. potknięcie się),221,3,6,8,2,,,,,3
2016, spaść z wysokości,36,1,,,5,,,,,1
2016, zgubić się,42,,,,1,,,,,1
2016, spadający kamień / lód,4,,,,4,,,,,
2016, lawina,2,,,,1,,,,,1
2016, uderzenie pioruna,1,,,,,,,,,
2016, niska temperatura,4,,,,,,,,,
2016, wysoka temperatura,2,,,,,,,,,
2016, zachorować,110,,1,,1,1,,,,17
2016, brak umiejętności,49,,1,2,3,,,,,
2016, niewystarczający sprzęt,37,,,,2,,,,,
2016, Inny,50,1,1,2,7,,,,,15
2016, nie dotyczy,25,,2,,3,,,,,12
